filename,label,source,date,datetime,confidence,redistributed_by_us,notes
69B27FD3.JPG,bird,esp32,2026-03-12,2026-03-12T08:56:51,0.64,true,ESP32 garden camera bird image
69B27FFB.JPG,bird,esp32,2026-03-12,2026-03-12T08:57:31,0.73,true,ESP32 garden camera bird image
69B2801A.JPG,bird,esp32,2026-03-12,2026-03-12T08:58:02,0.55,true,ESP32 garden camera bird image
69B2802B.JPG,bird,esp32,2026-03-12,2026-03-12T08:58:19,0.64,true,ESP32 garden camera bird image
69B28035.JPG,bird,esp32,2026-03-12,2026-03-12T08:58:29,0.66,true,ESP32 garden camera bird image
69B28048.JPG,bird,esp32,2026-03-12,2026-03-12T08:58:48,0.75,true,ESP32 garden camera bird image
69B28049.JPG,bird,esp32,2026-03-12,2026-03-12T08:58:49,0.53,true,ESP32 garden camera bird image
69B2804A.JPG,bird,esp32,2026-03-12,2026-03-12T08:58:50,0.55,true,ESP32 garden camera bird image
69B28051.JPG,bird,esp32,2026-03-12,2026-03-12T08:58:57,0.64,true,ESP32 garden camera bird image
69B28053.JPG,bird,esp32,2026-03-12,2026-03-12T08:58:59,0.55,true,ESP32 garden camera bird image
69B28055.JPG,bird,esp32,2026-03-12,2026-03-12T08:59:01,0.58,true,ESP32 garden camera bird image
69B28056.JPG,bird,esp32,2026-03-12,2026-03-12T08:59:02,0.5,true,ESP32 garden camera bird image
69B28057.JPG,bird,esp32,2026-03-12,2026-03-12T08:59:03,0.5,true,ESP32 garden camera bird image
69B28058.JPG,bird,esp32,2026-03-12,2026-03-12T08:59:04,0.55,true,ESP32 garden camera bird image
69B2805B.JPG,bird,esp32,2026-03-12,2026-03-12T08:59:07,0.53,true,ESP32 garden camera bird image
69B2805D.JPG,bird,esp32,2026-03-12,2026-03-12T08:59:09,0.61,true,ESP32 garden camera bird image
69B2805F.JPG,bird,esp32,2026-03-12,2026-03-12T08:59:11,0.5,true,ESP32 garden camera bird image
69B2879B.JPG,bird,esp32,2026-03-12,2026-03-12T09:30:03,0.75,true,ESP32 garden camera bird image
69B2879C.JPG,bird,esp32,2026-03-12,2026-03-12T09:30:04,0.66,true,ESP32 garden camera bird image
69B2879D.JPG,bird,esp32,2026-03-12,2026-03-12T09:30:05,0.83,true,ESP32 garden camera bird image
69B2879E.JPG,bird,esp32,2026-03-12,2026-03-12T09:30:06,0.79,true,ESP32 garden camera bird image
69B287A9.JPG,bird,esp32,2026-03-12,2026-03-12T09:30:17,0.64,true,ESP32 garden camera bird image
69B29C48.JPG,bird,esp32,2026-03-12,2026-03-12T10:58:16,0.5,true,ESP32 garden camera bird image
69B29ED3.JPG,bird,esp32,2026-03-12,2026-03-12T11:09:07,0.53,true,ESP32 garden camera bird image
69B2A0A0.JPG,bird,esp32,2026-03-12,2026-03-12T11:16:48,0.5,true,ESP32 garden camera bird image
69B2E1EA.JPG,bird,esp32,2026-03-12,2026-03-12T15:55:22,0.69,true,ESP32 garden camera bird image
69B2E1F8.JPG,bird,esp32,2026-03-12,2026-03-12T15:55:36,0.66,true,ESP32 garden camera bird image
69B2E200.JPG,bird,esp32,2026-03-12,2026-03-12T15:55:44,0.58,true,ESP32 garden camera bird image
69B2E203.JPG,bird,esp32,2026-03-12,2026-03-12T15:55:47,0.5,true,ESP32 garden camera bird image
69B5626A.JPG,bird,esp32,2026-03-14,2026-03-14T13:28:10,0.5,true,ESP32 garden camera bird image
